Model,Platform,Benchmark Suite,Benchmark,Dataset,Oracle Mapping,Predicted Mapping,Correct?,Speedup
Grewe et al.,nvidia_gtx_960,polybench-gpu-1.0,mm3_kernel2,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,polybench-gpu-1.0,mm3_kernel2,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,polybench-gpu-1.0,mm3_kernel3,default,1,1,1,9.91191732965056
DeepTuneInst2Vec,amd_tahiti_7970,polybench-gpu-1.0,mm3_kernel3,default,1,1,1,9.91191732965056
Grewe et al.,amd_tahiti_7970,polybench-gpu-1.0,mm3_kernel3,default,1,0,0,1.0
Static mapping,amd_tahiti_7970,polybench-gpu-1.0,mm3_kernel3,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,polybench-gpu-1.0,mm3_kernel3,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,polybench-gpu-1.0,mm3_kernel3,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,polybench-gpu-1.0,mm3_kernel3,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,polybench-gpu-1.0,mm3_kernel3,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,polybench-gpu-1.0,mvt_kernel1,default,1,1,1,1.0563156948489432
DeepTuneInst2Vec,amd_tahiti_7970,polybench-gpu-1.0,mvt_kernel1,default,1,1,1,1.0563156948489432
Grewe et al.,amd_tahiti_7970,polybench-gpu-1.0,mvt_kernel1,default,1,1,1,1.0563156948489432
Static mapping,amd_tahiti_7970,polybench-gpu-1.0,mvt_kernel1,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,polybench-gpu-1.0,mvt_kernel1,default,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,polybench-gpu-1.0,mvt_kernel1,default,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,polybench-gpu-1.0,mvt_kernel1,default,0,1,0,1.0
Static mapping,nvidia_gtx_960,polybench-gpu-1.0,mvt_kernel1,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,polybench-gpu-1.0,mvt_kernel2,default,1,1,1,3.8695131442882866
DeepTuneInst2Vec,amd_tahiti_7970,polybench-gpu-1.0,mvt_kernel2,default,1,1,1,3.8695131442882866
Grewe et al.,amd_tahiti_7970,polybench-gpu-1.0,mvt_kernel2,default,1,0,0,1.0
Static mapping,amd_tahiti_7970,polybench-gpu-1.0,mvt_kernel2,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,polybench-gpu-1.0,mvt_kernel2,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,polybench-gpu-1.0,mvt_kernel2,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,polybench-gpu-1.0,mvt_kernel2,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,polybench-gpu-1.0,mvt_kernel2,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,polybench-gpu-1.0,reduce_kernel,default,1,1,1,1.0276113029786516
DeepTune,amd_tahiti_7970,polybench-gpu-1.0,reduce_kernel,default,1,1,1,1.9574994686080271
DeepTuneInst2Vec,amd_tahiti_7970,polybench-gpu-1.0,reduce_kernel,default,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,polybench-gpu-1.0,reduce_kernel,default,1,1,1,1.9574994686080271
Grewe et al.,amd_tahiti_7970,polybench-gpu-1.0,reduce_kernel,default,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,polybench-gpu-1.0,reduce_kernel,default,1,0,0,1.0
Static mapping,amd_tahiti_7970,polybench-gpu-1.0,reduce_kernel,default,1,0,0,1.0
Static mapping,amd_tahiti_7970,polybench-gpu-1.0,reduce_kernel,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,polybench-gpu-1.0,reduce_kernel,default,0,0,1,1.364811671148916
DeepTune,nvidia_gtx_960,polybench-gpu-1.0,reduce_kernel,default,0,0,1,1.0893852203630519
DeepTuneInst2Vec,nvidia_gtx_960,polybench-gpu-1.0,reduce_kernel,default,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,polybench-gpu-1.0,reduce_kernel,default,0,0,1,1.0893852203630519
Grewe et al.,nvidia_gtx_960,polybench-gpu-1.0,reduce_kernel,default,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,polybench-gpu-1.0,reduce_kernel,default,0,1,0,1.0
Static mapping,nvidia_gtx_960,polybench-gpu-1.0,reduce_kernel,default,0,1,0,1.0
Static mapping,nvidia_gtx_960,polybench-gpu-1.0,reduce_kernel,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,polybench-gpu-1.0,std_kernel,default,1,1,1,1.553779929001249
DeepTuneInst2Vec,amd_tahiti_7970,polybench-gpu-1.0,std_kernel,default,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,polybench-gpu-1.0,std_kernel,default,1,0,0,1.0
Static mapping,amd_tahiti_7970,polybench-gpu-1.0,std_kernel,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,polybench-gpu-1.0,std_kernel,default,0,0,1,1.3144474260926275
DeepTuneInst2Vec,nvidia_gtx_960,polybench-gpu-1.0,std_kernel,default,0,0,1,1.3144474260926275
Grewe et al.,nvidia_gtx_960,polybench-gpu-1.0,std_kernel,default,0,1,0,1.0
Static mapping,nvidia_gtx_960,polybench-gpu-1.0,std_kernel,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,polybench-gpu-1.0,syr2k_kernel,default,1,1,1,1.7727854020286529
DeepTuneInst2Vec,amd_tahiti_7970,polybench-gpu-1.0,syr2k_kernel,default,1,1,1,1.7727854020286529
Grewe et al.,amd_tahiti_7970,polybench-gpu-1.0,syr2k_kernel,default,1,1,1,1.7727854020286529
Static mapping,amd_tahiti_7970,polybench-gpu-1.0,syr2k_kernel,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,polybench-gpu-1.0,syr2k_kernel,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,polybench-gpu-1.0,syr2k_kernel,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,polybench-gpu-1.0,syr2k_kernel,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,polybench-gpu-1.0,syr2k_kernel,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,polybench-gpu-1.0,syrk_kernel,default,1,1,1,2.812441869725257
DeepTuneInst2Vec,amd_tahiti_7970,polybench-gpu-1.0,syrk_kernel,default,1,1,1,2.812441869725257
Grewe et al.,amd_tahiti_7970,polybench-gpu-1.0,syrk_kernel,default,1,1,1,2.812441869725257
Static mapping,amd_tahiti_7970,polybench-gpu-1.0,syrk_kernel,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,polybench-gpu-1.0,syrk_kernel,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,polybench-gpu-1.0,syrk_kernel,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,polybench-gpu-1.0,syrk_kernel,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,polybench-gpu-1.0,syrk_kernel,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,BFS_1,default,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,BFS_1,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,rodinia-3.1,BFS_1,default,0,1,0,0.6080101313093531
Static mapping,amd_tahiti_7970,rodinia-3.1,BFS_1,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,BFS_1,default,0,0,1,2.544690281351192
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,BFS_1,default,0,0,1,2.544690281351192
Grewe et al.,nvidia_gtx_960,rodinia-3.1,BFS_1,default,0,1,0,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,BFS_1,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,BFS_2,default,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,BFS_2,default,0,1,0,0.5947090710787358
Grewe et al.,amd_tahiti_7970,rodinia-3.1,BFS_2,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,BFS_2,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,BFS_2,default,0,0,1,2.6536373422990884
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,BFS_2,default,0,0,1,2.6536373422990884
Grewe et al.,nvidia_gtx_960,rodinia-3.1,BFS_2,default,0,1,0,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,BFS_2,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,Fan1,default,0,1,0,0.37294799331698125
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,Fan1,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,rodinia-3.1,Fan1,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,Fan1,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,Fan1,default,0,0,1,2.3261201691725737
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,Fan1,default,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,Fan1,default,0,0,1,2.3261201691725737
Static mapping,nvidia_gtx_960,rodinia-3.1,Fan1,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,Fan2,default,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,Fan2,default,0,1,0,0.4452178256852851
Grewe et al.,amd_tahiti_7970,rodinia-3.1,Fan2,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,Fan2,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,Fan2,default,0,0,1,1.9368678846539453
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,Fan2,default,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,Fan2,default,0,0,1,1.9368678846539453
Static mapping,nvidia_gtx_960,rodinia-3.1,Fan2,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,GICOV_kernel,default,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,GICOV_kernel,default,1,1,1,5.282304806143625
Grewe et al.,amd_tahiti_7970,rodinia-3.1,GICOV_kernel,default,1,1,1,5.282304806143625
Static mapping,amd_tahiti_7970,rodinia-3.1,GICOV_kernel,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,GICOV_kernel,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,GICOV_kernel,default,1,0,0,0.12865534928817135
Grewe et al.,nvidia_gtx_960,rodinia-3.1,GICOV_kernel,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,GICOV_kernel,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,IMGVF_kernel,default,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,IMGVF_kernel,default,1,1,1,11.05223449990561
Grewe et al.,amd_tahiti_7970,rodinia-3.1,IMGVF_kernel,default,1,1,1,11.05223449990561
Static mapping,amd_tahiti_7970,rodinia-3.1,IMGVF_kernel,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,IMGVF_kernel,default,1,0,0,0.04415505074322152
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,IMGVF_kernel,default,1,0,0,0.04415505074322152
Grewe et al.,nvidia_gtx_960,rodinia-3.1,IMGVF_kernel,default,1,0,0,0.04415505074322152
Static mapping,nvidia_gtx_960,rodinia-3.1,IMGVF_kernel,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,NearestNeighbor,default,0,1,0,0.27769852085048935
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,NearestNeighbor,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,rodinia-3.1,NearestNeighbor,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,NearestNeighbor,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,NearestNeighbor,default,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,NearestNeighbor,default,0,0,1,1.096415146807817
Grewe et al.,nvidia_gtx_960,rodinia-3.1,NearestNeighbor,default,0,0,1,1.096415146807817
Static mapping,nvidia_gtx_960,rodinia-3.1,NearestNeighbor,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,bpnn_adjust_weights_ocl,default,0,1,0,0.695750179009473
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,bpnn_adjust_weights_ocl,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,rodinia-3.1,bpnn_adjust_weights_ocl,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,bpnn_adjust_weights_ocl,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,bpnn_adjust_weights_ocl,default,0,0,1,1.5290536909911725
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,bpnn_adjust_weights_ocl,default,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,bpnn_adjust_weights_ocl,default,0,1,0,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,bpnn_adjust_weights_ocl,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,bpnn_layerforward_ocl,default,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,bpnn_layerforward_ocl,default,1,1,1,1.1799187186069742
Grewe et al.,amd_tahiti_7970,rodinia-3.1,bpnn_layerforward_ocl,default,1,1,1,1.1799187186069742
Static mapping,amd_tahiti_7970,rodinia-3.1,bpnn_layerforward_ocl,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,bpnn_layerforward_ocl,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,bpnn_layerforward_ocl,default,1,0,0,0.9091636402057913
Grewe et al.,nvidia_gtx_960,rodinia-3.1,bpnn_layerforward_ocl,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,bpnn_layerforward_ocl,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,compute_flux,default,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,compute_flux,default,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,rodinia-3.1,compute_flux,default,1,0,0,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,compute_flux,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,compute_flux,default,1,0,0,0.6726863303257695
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,compute_flux,default,1,0,0,0.6726863303257695
Grewe et al.,nvidia_gtx_960,rodinia-3.1,compute_flux,default,1,0,0,0.6726863303257695
Static mapping,nvidia_gtx_960,rodinia-3.1,compute_flux,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,compute_step_factor,default,0,1,0,0.7936299524045798
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,compute_step_factor,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,rodinia-3.1,compute_step_factor,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,compute_step_factor,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,compute_step_factor,default,1,0,0,0.9486760169562178
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,compute_step_factor,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,compute_step_factor,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,compute_step_factor,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,dilate_kernel,default,1,1,1,2.252760366248184
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,dilate_kernel,default,1,1,1,2.252760366248184
Grewe et al.,amd_tahiti_7970,rodinia-3.1,dilate_kernel,default,1,0,0,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,dilate_kernel,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,dilate_kernel,default,1,0,0,0.31034238049303847
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,dilate_kernel,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,dilate_kernel,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,dilate_kernel,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,dynproc_kernel,default,1,1,1,70.7289341852897
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,dynproc_kernel,default,1,1,1,70.7289341852897
Grewe et al.,amd_tahiti_7970,rodinia-3.1,dynproc_kernel,default,1,1,1,70.7289341852897
Static mapping,amd_tahiti_7970,rodinia-3.1,dynproc_kernel,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,dynproc_kernel,default,1,0,0,0.014964998246987996
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,dynproc_kernel,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,dynproc_kernel,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,dynproc_kernel,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,find_index_kernel,default,0,1,0,0.164922699125851
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,find_index_kernel,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,rodinia-3.1,find_index_kernel,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,find_index_kernel,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,find_index_kernel,default,0,0,1,7.512203621148262
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,find_index_kernel,default,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,find_index_kernel,default,0,1,0,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,find_index_kernel,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,hotspot,default,1,1,1,4.561847347141081
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,hotspot,default,1,1,1,4.561847347141081
Grewe et al.,amd_tahiti_7970,rodinia-3.1,hotspot,default,1,0,0,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,hotspot,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,hotspot,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,hotspot,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,hotspot,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,hotspot,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,initialize_variables,default,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,initialize_variables,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,rodinia-3.1,initialize_variables,default,0,1,0,0.7038383158574182
Static mapping,amd_tahiti_7970,rodinia-3.1,initialize_variables,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,initialize_variables,default,0,0,1,1.039695250960964
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,initialize_variables,default,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,initialize_variables,default,0,0,1,1.039695250960964
Static mapping,nvidia_gtx_960,rodinia-3.1,initialize_variables,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,kernel_gpu_opencl,default,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,kernel_gpu_opencl,default,1,1,1,31.738419541631913
Grewe et al.,amd_tahiti_7970,rodinia-3.1,kernel_gpu_opencl,default,1,0,0,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,kernel_gpu_opencl,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,kernel_gpu_opencl,default,1,0,0,0.009752072068289586
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,kernel_gpu_opencl,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,kernel_gpu_opencl,default,1,0,0,0.009752072068289586
Static mapping,nvidia_gtx_960,rodinia-3.1,kernel_gpu_opencl,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,kmeans_kernel_c,default,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,kmeans_kernel_c,default,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,rodinia-3.1,kmeans_kernel_c,default,1,1,1,3.077968456431831
Static mapping,amd_tahiti_7970,rodinia-3.1,kmeans_kernel_c,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,kmeans_kernel_c,default,1,0,0,0.5864299339590262
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,kmeans_kernel_c,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,kmeans_kernel_c,default,1,0,0,0.5864299339590262
Static mapping,nvidia_gtx_960,rodinia-3.1,kmeans_kernel_c,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,kmeans_swap,default,1,1,1,1.5824062271754364
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,kmeans_swap,default,1,1,1,1.5824062271754364
Grewe et al.,amd_tahiti_7970,rodinia-3.1,kmeans_swap,default,1,1,1,1.5824062271754364
Static mapping,amd_tahiti_7970,rodinia-3.1,kmeans_swap,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,kmeans_swap,default,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,kmeans_swap,default,0,0,1,1.0588505683574727
Grewe et al.,nvidia_gtx_960,rodinia-3.1,kmeans_swap,default,0,0,1,1.0588505683574727
Static mapping,nvidia_gtx_960,rodinia-3.1,kmeans_swap,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,likelihood_kernel,default,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,likelihood_kernel,default,1,1,1,1.4962120033124844
Grewe et al.,amd_tahiti_7970,rodinia-3.1,likelihood_kernel,default,1,1,1,1.4962120033124844
Static mapping,amd_tahiti_7970,rodinia-3.1,likelihood_kernel,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,likelihood_kernel,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,likelihood_kernel,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,likelihood_kernel,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,likelihood_kernel,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,lud_diagonal,default,0,1,0,0.6756073015154517
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,lud_diagonal,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,rodinia-3.1,lud_diagonal,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,lud_diagonal,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,lud_diagonal,default,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,lud_diagonal,default,0,0,1,1.47928156612238
Grewe et al.,nvidia_gtx_960,rodinia-3.1,lud_diagonal,default,0,0,1,1.47928156612238
Static mapping,nvidia_gtx_960,rodinia-3.1,lud_diagonal,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,lud_internal,default,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,lud_internal,default,1,1,1,1.1080769267284851
Grewe et al.,amd_tahiti_7970,rodinia-3.1,lud_internal,default,1,1,1,1.1080769267284851
Static mapping,amd_tahiti_7970,rodinia-3.1,lud_internal,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,lud_internal,default,1,0,0,0.9139377007004548
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,lud_internal,default,1,0,0,0.9139377007004548
Grewe et al.,nvidia_gtx_960,rodinia-3.1,lud_internal,default,1,0,0,0.9139377007004548
Static mapping,nvidia_gtx_960,rodinia-3.1,lud_internal,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,lud_perimeter,default,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,lud_perimeter,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,rodinia-3.1,lud_perimeter,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,lud_perimeter,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,lud_perimeter,default,0,0,1,1.4543278143712888
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,lud_perimeter,default,0,0,1,1.4543278143712888
Grewe et al.,nvidia_gtx_960,rodinia-3.1,lud_perimeter,default,0,1,0,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,lud_perimeter,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,memset_kernel,default,0,1,0,0.7003144235472719
DeepTune,amd_tahiti_7970,rodinia-3.1,memset_kernel,default,0,1,0,0.681472430400942
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,memset_kernel,default,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,memset_kernel,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,rodinia-3.1,memset_kernel,default,0,1,0,0.7003144235472719
Grewe et al.,amd_tahiti_7970,rodinia-3.1,memset_kernel,default,0,1,0,0.681472430400942
Static mapping,amd_tahiti_7970,rodinia-3.1,memset_kernel,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,memset_kernel,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,memset_kernel,default,0,0,1,4.679600952914228
DeepTune,nvidia_gtx_960,rodinia-3.1,memset_kernel,default,0,0,1,1.052066200657895
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,memset_kernel,default,0,0,1,4.679600952914228
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,memset_kernel,default,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,memset_kernel,default,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,rodinia-3.1,memset_kernel,default,0,1,0,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,memset_kernel,default,0,1,0,1.0
Static mapping,nvidia_gtx_960,rodinia-3.1,memset_kernel,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,rodinia-3.1,normalize_weights_kernel,default,0,1,0,0.09601727312430451
DeepTuneInst2Vec,amd_tahiti_7970,rodinia-3.1,normalize_weights_kernel,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,rodinia-3.1,normalize_weights_kernel,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,rodinia-3.1,normalize_weights_kernel,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,rodinia-3.1,normalize_weights_kernel,default,0,0,1,7.588750219884384
DeepTuneInst2Vec,nvidia_gtx_960,rodinia-3.1,normalize_weights_kernel,default,0,0,1,7.588750219884384
Grewe et al.,nvidia_gtx_960,rodinia-3.1,normalize_weights_kernel,default,0,1,0,1.0
